record,fs_used,signal_std,max_abs_autocorr,n_peaks,prominence,distance_samples,reason
p10001\p10001_s44,250,1.0,4999.999999999999,16,0.1,75,ok
p10001\p10001_s45,250,0.9999999999999999,5000.000000000002,9,0.1,75,ok
p10001\p10001_s46,250,1.0,5000.0,15,0.1,75,ok
p10001\p10001_s47,250,1.0,4999.999999999998,9,0.1,75,ok
p10001\p10001_s48,250,0.9999999999999999,5000.000000000002,16,0.1,75,ok
p10001\p10001_s49,250,1.0,5000.0,18,0.1,75,ok
p10002\p10002_s00,250,1.0,4999.999999999998,13,0.1,75,ok
p10002\p10002_s01,250,1.0,4999.999999999999,15,0.1,75,ok
p10002\p10002_s02,250,1.0,5000.000000000001,7,0.1,75,ok
p10002\p10002_s03,250,1.0000000000000002,5000.000000000001,10,0.1,75,ok
p10002\p10002_s04,250,0.9999999999999999,5000.000000000003,14,0.1,75,ok
p10002\p10002_s05,250,1.0,5000.0,17,0.1,75,ok
p10002\p10002_s06,250,1.0,4999.999999999999,18,0.1,75,ok
p10002\p10002_s07,250,0.9999999999999998,5000.000000000001,13,0.1,75,ok
p10002\p10002_s08,250,0.9999999999999999,5000.000000000002,8,0.1,75,ok
p10002\p10002_s09,250,1.0,5000.000000000002,6,0.1,75,ok
p10002\p10002_s10,250,1.0,4999.999999999998,9,0.1,75,ok
p10002\p10002_s11,250,1.0,5000.0,9,0.1,75,ok
p10002\p10002_s12,250,1.0,5000.0,7,0.1,75,ok
p10002\p10002_s13,250,1.0000000000000002,5000.0,19,0.1,75,ok
p10002\p10002_s14,250,1.0,4999.999999999999,14,0.1,75,ok
p10002\p10002_s15,250,1.0,5000.0,10,0.1,75,ok
p10002\p10002_s16,250,1.0,5000.0,9,0.1,75,ok
p10002\p10002_s17,250,1.0,5000.000000000003,11,0.1,75,ok
p10002\p10002_s18,250,1.0,5000.0,13,0.1,75,ok
p10002\p10002_s19,250,0.9999999999999999,5000.000000000001,6,0.1,75,ok
p10002\p10002_s20,250,1.0,5000.0,10,0.1,75,ok
p10002\p10002_s21,250,1.0,5000.000000000001,14,0.1,75,ok
p10002\p10002_s22,250,1.0,5000.0,6,0.1,75,ok
p10002\p10002_s23,250,1.0,4999.999999999999,7,0.1,75,ok
p10002\p10002_s24,250,1.0,5000.000000000002,4,0.1,75,ok
p10002\p10002_s25,250,1.0,4999.999999999999,11,0.1,75,ok
p10002\p10002_s26,250,1.0000000000000002,5000.000000000002,18,0.1,75,ok
p10002\p10002_s27,250,1.0,5000.0,19,0.1,75,ok
p10002\p10002_s28,250,1.0,4999.999999999999,18,0.1,75,ok
p10002\p10002_s29,250,1.0,4999.999999999998,17,0.1,75,ok
p10002\p10002_s30,250,1.0,4999.999999999999,9,0.1,75,ok
p10002\p10002_s31,250,1.0,5000.0,9,0.1,75,ok
p10002\p10002_s32,250,1.0000000000000002,4999.999999999999,12,0.1,75,ok
p10002\p10002_s33,250,1.0,5000.0,17,0.1,75,ok
p10002\p10002_s34,250,1.0,4999.999999999999,16,0.1,75,ok
p10002\p10002_s35,250,0.9999999999999999,5000.000000000001,13,0.1,75,ok
p10002\p10002_s36,250,1.0,4999.999999999997,21,0.1,75,ok
p10002\p10002_s37,250,0.9999999999999998,5000.000000000001,14,0.1,75,ok
p10002\p10002_s38,250,1.0,5000.000000000001,14,0.1,75,ok
p10002\p10002_s39,250,1.0,5000.0,14,0.1,75,ok
p10002\p10002_s40,250,1.0,5000.000000000001,18,0.1,75,ok
p10002\p10002_s41,250,1.0,5000.000000000002,19,0.1,75,ok
p10002\p10002_s42,250,1.0,4999.999999999999,22,0.1,75,ok
p10002\p10002_s43,250,1.0,5000.0,9,0.1,75,ok
p10002\p10002_s44,250,0.9999999999999998,5000.000000000001,5,0.1,75,ok
p10002\p10002_s45,250,1.0,5000.000000000002,11,0.1,75,ok
p10002\p10002_s46,250,1.0,5000.000000000003,9,0.1,75,ok
p10002\p10002_s47,250,0.9999999999999998,5000.000000000001,21,0.1,75,ok
p10003\p10003_s00,250,1.0,5000.000000000001,2,0.1,75,ok
p10003\p10003_s01,250,1.0,5000.000000000001,7,0.1,75,ok
p10003\p10003_s02,250,1.0,5000.000000000001,15,0.1,75,ok
p10003\p10003_s03,250,1.0,5000.000000000001,15,0.1,75,ok
p10003\p10003_s04,250,1.0,5000.0,17,0.1,75,ok
p10003\p10003_s05,250,1.0,5000.000000000001,15,0.1,75,ok
p10003\p10003_s06,250,1.0000000000000002,5000.000000000001,21,0.1,75,ok
p10003\p10003_s07,250,0.9999999999999998,5000.0,15,0.1,75,ok
p10003\p10003_s08,250,1.0,5000.000000000002,10,0.1,75,ok
p10003\p10003_s09,250,0.9999999999999999,5000.000000000002,17,0.1,75,ok
p10003\p10003_s10,250,1.0,5000.000000000001,16,0.1,75,ok
p10003\p10003_s11,250,1.0,5000.000000000002,13,0.1,75,ok
p10003\p10003_s12,250,0.9999999999999999,5000.0,14,0.1,75,ok
p10003\p10003_s13,250,0.9999999999999999,5000.000000000003,15,0.1,75,ok
p10003\p10003_s14,250,1.0,5000.0,13,0.1,75,ok
p10003\p10003_s15,250,1.0000000000000002,4999.999999999999,13,0.1,75,ok
p10003\p10003_s16,250,1.0000000000000002,4999.999999999999,21,0.1,75,ok
p10003\p10003_s17,250,1.0,4999.999999999999,14,0.1,75,ok
p10003\p10003_s18,250,1.0,5000.000000000002,15,0.1,75,ok
p10003\p10003_s19,250,1.0,4999.999999999999,16,0.1,75,ok
p10004\p10004_s00,250,1.0,5000.000000000001,10,0.1,75,ok
p10004\p10004_s01,250,1.0,4999.999999999998,19,0.1,75,ok
p10004\p10004_s02,250,1.0,5000.000000000001,21,0.1,75,ok
p10004\p10004_s03,250,0.9999999999999999,5000.0,13,0.1,75,ok
p10004\p10004_s04,250,1.0000000000000002,4999.999999999999,15,0.1,75,ok
p10004\p10004_s05,250,1.0,5000.000000000001,9,0.1,75,ok
p10004\p10004_s06,250,0.9999999999999999,5000.0,18,0.1,75,ok
p10004\p10004_s07,250,1.0,5000.000000000001,20,0.1,75,ok
p10004\p10004_s08,250,0.9999999999999999,5000.000000000004,18,0.1,75,ok
p10004\p10004_s09,250,1.0,5000.0,16,0.1,75,ok
p10004\p10004_s10,250,1.0,4999.999999999999,11,0.1,75,ok
p10004\p10004_s14,250,1.0,5000.000000000001,3,0.1,75,ok
p10004\p10004_s22,250,1.0,5000.000000000001,22,0.1,75,ok
p10004\p10004_s23,250,1.0,5000.000000000001,9,0.1,75,ok
p10004\p10004_s24,250,1.0,5000.000000000001,23,0.1,75,ok
p10004\p10004_s25,250,1.0,4999.999999999999,20,0.1,75,ok
p10004\p10004_s26,250,1.0,5000.000000000001,21,0.1,75,ok
p10004\p10004_s27,250,1.0,5000.000000000001,1,0.1,75,insufficient_peaks
p10004\p10004_s29,250,1.0,5000.0,11,0.1,75,ok
p10004\p10004_s30,250,1.0,4999.999999999999,20,0.1,75,ok
p10004\p10004_s31,250,1.0,5000.0,7,0.1,75,ok
p10005\p10005_s00,250,1.0,4999.999999999998,19,0.1,75,ok
p10005\p10005_s01,250,1.0,5000.000000000001,16,0.1,75,ok
p10005\p10005_s02,250,0.9999999999999999,5000.0,24,0.1,75,ok
p10005\p10005_s03,250,1.0,4999.999999999999,13,0.1,75,ok
p10005\p10005_s04,250,0.9999999999999998,5000.0,19,0.1,75,ok
p10005\p10005_s05,250,1.0,5000.0,7,0.1,75,ok
p10005\p10005_s06,250,0.9999999999999999,5000.000000000002,17,0.1,75,ok
p10005\p10005_s07,250,1.0,5000.000000000002,16,0.1,75,ok
p10005\p10005_s08,250,1.0,5000.000000000001,16,0.1,75,ok
p10005\p10005_s09,250,1.0,5000.0,12,0.1,75,ok
p10005\p10005_s10,250,0.9999999999999999,4999.999999999999,15,0.1,75,ok
p10005\p10005_s11,250,1.0,5000.0,19,0.1,75,ok
p10005\p10005_s12,250,1.0,4999.999999999999,21,0.1,75,ok
p10005\p10005_s13,250,1.0,4999.999999999999,19,0.1,75,ok
p10005\p10005_s14,250,1.0,5000.000000000001,18,0.1,75,ok
p10005\p10005_s15,250,1.0000000000000002,5000.000000000001,20,0.1,75,ok
p10005\p10005_s16,250,1.0,5000.0,18,0.1,75,ok
p10005\p10005_s17,250,0.9999999999999999,4999.999999999999,20,0.1,75,ok
p10005\p10005_s18,250,1.0,4999.999999999997,17,0.1,75,ok
p10005\p10005_s19,250,1.0,5000.0,20,0.1,75,ok
p10005\p10005_s20,250,1.0,5000.0,17,0.1,75,ok
p10005\p10005_s21,250,1.0,5000.0,19,0.1,75,ok
p10005\p10005_s22,250,1.0,5000.0,22,0.1,75,ok
p10005\p10005_s23,250,1.0,5000.0,19,0.1,75,ok
p10005\p10005_s24,250,1.0,4999.999999999998,20,0.1,75,ok
p10005\p10005_s25,250,1.0,5000.000000000001,20,0.1,75,ok
p10005\p10005_s26,250,1.0,5000.0,17,0.1,75,ok
p10005\p10005_s27,250,1.0000000000000002,4999.999999999996,15,0.1,75,ok
p10005\p10005_s28,250,1.0,5000.0,20,0.1,75,ok
p10005\p10005_s29,250,1.0,5000.0,22,0.1,75,ok
p10005\p10005_s30,250,0.9999999999999998,5000.000000000002,22,0.1,75,ok
p10005\p10005_s31,250,1.0,4999.999999999999,16,0.1,75,ok
p10005\p10005_s32,250,1.0,4999.999999999999,17,0.1,75,ok
p10005\p10005_s33,250,0.9999999999999998,5000.000000000001,13,0.1,75,ok
p10005\p10005_s34,250,1.0,5000.000000000001,22,0.1,75,ok
p10005\p10005_s35,250,1.0,5000.0,12,0.1,75,ok
p10005\p10005_s36,250,1.0,5000.0,22,0.1,75,ok
p10005\p10005_s37,250,1.0000000000000002,4999.999999999999,21,0.1,75,ok
p10005\p10005_s38,250,0.9999999999999999,5000.000000000001,20,0.1,75,ok
p10005\p10005_s39,250,1.0,5000.0,22,0.1,75,ok
p10005\p10005_s40,250,1.0,5000.0,23,0.1,75,ok
p10005\p10005_s41,250,1.0,4999.999999999999,22,0.1,75,ok
p10005\p10005_s42,250,1.0,4999.999999999999,9,0.1,75,ok
p10005\p10005_s43,250,1.0,4999.999999999999,21,0.1,75,ok
p10005\p10005_s44,250,1.0,4999.999999999999,26,0.1,75,ok
p10005\p10005_s45,250,1.0,5000.000000000001,12,0.1,75,ok
p10005\p10005_s46,250,0.9999999999999999,5000.000000000001,23,0.1,75,ok
p10005\p10005_s47,250,1.0,5000.000000000001,12,0.1,75,ok
p10005\p10005_s48,250,1.0,5000.000000000001,16,0.1,75,ok
p10005\p10005_s49,250,1.0,4999.999999999998,21,0.1,75,ok
p10006\p10006_s00,250,1.0,4999.999999999999,17,0.1,75,ok
p10006\p10006_s01,250,1.0,5000.0,17,0.1,75,ok
p10006\p10006_s02,250,1.0,5000.000000000001,17,0.1,75,ok
p10006\p10006_s03,250,1.0,5000.000000000001,18,0.1,75,ok
p10006\p10006_s04,250,0.9999999999999999,4999.999999999999,17,0.1,75,ok
p10006\p10006_s05,250,1.0,4999.999999999999,18,0.1,75,ok
p10006\p10006_s06,250,0.9999999999999999,5000.000000000002,17,0.1,75,ok
p10006\p10006_s07,250,1.0,4999.999999999999,10,0.1,75,ok
p10006\p10006_s08,250,1.0000000000000002,5000.0,22,0.1,75,ok
p10006\p10006_s09,250,1.0,4999.999999999999,16,0.1,75,ok
p10006\p10006_s10,250,1.0,5000.000000000001,18,0.1,75,ok
p10006\p10006_s11,250,1.0,5000.000000000002,18,0.1,75,ok
p10006\p10006_s12,250,1.0,5000.000000000001,17,0.1,75,ok
p10006\p10006_s13,250,1.0,5000.000000000002,18,0.1,75,ok
p10006\p10006_s14,250,0.9999999999999999,5000.0,21,0.1,75,ok
p10006\p10006_s15,250,1.0,5000.0,19,0.1,75,ok
p10006\p10006_s16,250,1.0,4999.999999999999,16,0.1,75,ok
p10006\p10006_s17,250,1.0,5000.0,12,0.1,75,ok
p10006\p10006_s18,250,1.0,5000.0,8,0.1,75,ok
p10006\p10006_s19,250,1.0,5000.0,18,0.1,75,ok
p10006\p10006_s20,250,0.9999999999999999,5000.000000000001,12,0.1,75,ok
p10006\p10006_s21,250,1.0,4999.999999999998,7,0.1,75,ok
p10006\p10006_s22,250,1.0,4999.999999999999,17,0.1,75,ok
p10006\p10006_s23,250,1.0,5000.0,17,0.1,75,ok
p10006\p10006_s24,250,1.0,5000.0,17,0.1,75,ok
p10006\p10006_s25,250,1.0,5000.000000000002,12,0.1,75,ok
p10006\p10006_s26,250,1.0,5000.0,14,0.1,75,ok
p10006\p10006_s27,250,1.0,4999.999999999999,18,0.1,75,ok
p10006\p10006_s28,250,1.0,5000.000000000003,11,0.1,75,ok
p10006\p10006_s29,250,1.0,4999.999999999997,13,0.1,75,ok
p10006\p10006_s30,250,0.9999999999999999,5000.000000000001,15,0.1,75,ok
p10006\p10006_s31,250,1.0,5000.000000000001,16,0.1,75,ok
p10006\p10006_s32,250,1.0,5000.000000000001,17,0.1,75,ok
p10006\p10006_s33,250,1.0,5000.0,17,0.1,75,ok
p10006\p10006_s34,250,1.0,5000.0,19,0.1,75,ok
p10006\p10006_s35,250,0.9999999999999999,5000.000000000002,16,0.1,75,ok
p10006\p10006_s36,250,1.0,4999.999999999999,17,0.1,75,ok
p10006\p10006_s37,250,1.0,4999.999999999999,18,0.1,75,ok
p10006\p10006_s38,250,1.0,4999.999999999998,17,0.1,75,ok
p10006\p10006_s39,250,1.0,5000.000000000001,19,0.1,75,ok
p10006\p10006_s40,250,1.0,4999.999999999999,10,0.1,75,ok
p10006\p10006_s41,250,1.0,5000.0,17,0.1,75,ok
p10006\p10006_s42,250,1.0,5000.0,16,0.1,75,ok
p10006\p10006_s43,250,1.0,5000.000000000001,21,0.1,75,ok
p10006\p10006_s44,250,1.0000000000000002,5000.0,17,0.1,75,ok
p10006\p10006_s45,250,1.0,5000.0,11,0.1,75,ok
p10006\p10006_s46,250,1.0,5000.0,21,0.1,75,ok
p10006\p10006_s47,250,0.9999999999999999,5000.000000000001,17,0.1,75,ok
p10006\p10006_s48,250,1.0,5000.000000000001,9,0.1,75,ok
p10006\p10006_s49,250,1.0,5000.0,23,0.1,75,ok
p10007\p10007_s00,250,1.0,5000.000000000001,2,0.1,75,ok
p10007\p10007_s01,250,0.9999999999999999,5000.000000000001,19,0.1,75,ok
p10007\p10007_s02,250,1.0,5000.0,18,0.1,75,ok
p10007\p10007_s03,250,1.0,5000.000000000001,23,0.1,75,ok
p10007\p10007_s04,250,1.0,5000.000000000001,12,0.1,75,ok
p10007\p10007_s05,250,1.0,5000.0,21,0.1,75,ok
p10007\p10007_s06,250,1.0,4999.999999999998,9,0.1,75,ok
p10007\p10007_s07,250,1.0,5000.0,15,0.1,75,ok
p10007\p10007_s08,250,1.0,5000.0,16,0.1,75,ok
p10007\p10007_s09,250,1.0,4999.999999999998,15,0.1,75,ok
p10007\p10007_s10,250,1.0,5000.0,22,0.1,75,ok
p10007\p10007_s11,250,1.0000000000000002,5000.000000000001,16,0.1,75,ok
p10007\p10007_s12,250,1.0,4999.999999999999,17,0.1,75,ok
p10007\p10007_s13,250,1.0,5000.000000000002,10,0.1,75,ok
p10007\p10007_s14,250,0.9999999999999999,5000.000000000002,9,0.1,75,ok
p10007\p10007_s15,250,1.0,5000.000000000001,9,0.1,75,ok
p10007\p10007_s16,250,1.0,5000.000000000001,11,0.1,75,ok
p10007\p10007_s17,250,1.0,5000.000000000001,25,0.1,75,ok
p10007\p10007_s18,250,1.0,5000.000000000001,3,0.1,75,ok
p10007\p10007_s19,250,0.9999999999999999,4999.999999999999,25,0.1,75,ok
p10007\p10007_s20,250,1.0,4999.999999999999,10,0.1,75,ok
p10007\p10007_s21,250,1.0,5000.0,12,0.1,75,ok
p10007\p10007_s22,250,1.0,5000.000000000001,8,0.1,75,ok
p10007\p10007_s23,250,0.9999999999999999,5000.0,16,0.1,75,ok
p10007\p10007_s24,250,1.0,5000.000000000001,12,0.1,75,ok
p10007\p10007_s25,250,0.9999999999999999,5000.000000000001,29,0.1,75,ok
p10007\p10007_s26,250,1.0,4999.999999999999,37,0.1,75,ok
p10007\p10007_s27,250,1.0,4999.999999999997,16,0.1,75,ok
p10007\p10007_s28,250,0.9999999999999999,5000.000000000003,12,0.1,75,ok
p10007\p10007_s29,250,1.0,4999.999999999999,8,0.1,75,ok
p10007\p10007_s30,250,1.0,5000.000000000001,28,0.1,75,ok
p10007\p10007_s31,250,1.0,5000.000000000002,13,0.1,75,ok
p10007\p10007_s32,250,1.0,5000.000000000001,17,0.1,75,ok
p10007\p10007_s33,250,1.0,5000.000000000001,19,0.1,75,ok
p10007\p10007_s34,250,1.0,4999.999999999999,9,0.1,75,ok
p10007\p10007_s35,250,1.0,5000.000000000001,26,0.1,75,ok
p10007\p10007_s36,250,1.0,5000.0,17,0.1,75,ok
p10007\p10007_s37,250,1.0,4999.999999999998,15,0.1,75,ok
p10007\p10007_s38,250,1.0,4999.999999999999,9,0.1,75,ok
p10007\p10007_s39,250,1.0,5000.0,6,0.1,75,ok
p10007\p10007_s40,250,0.9999999999999999,5000.000000000003,12,0.1,75,ok
p10007\p10007_s41,250,1.0,4999.999999999999,37,0.1,75,ok
p10007\p10007_s42,250,1.0,5000.000000000001,14,0.1,75,ok
p10007\p10007_s43,250,0.9999999999999999,5000.0,21,0.1,75,ok
p10007\p10007_s44,250,1.0,5000.000000000001,11,0.1,75,ok
p10007\p10007_s45,250,1.0,4999.999999999999,13,0.1,75,ok
p10007\p10007_s46,250,1.0,4999.999999999996,13,0.1,75,ok
p10007\p10007_s47,250,1.0,5000.000000000001,11,0.1,75,ok
p10007\p10007_s48,250,1.0,5000.000000000001,7,0.1,75,ok
p10007\p10007_s49,250,0.9999999999999998,5000.000000000001,11,0.1,75,ok
p10008\p10008_s00,250,0.9999999999999998,5000.000000000001,3,0.1,75,ok
p10008\p10008_s01,250,1.0,5000.000000000002,9,0.1,75,ok
p10008\p10008_s02,250,1.0,5000.000000000002,4,0.1,75,ok
p10008\p10008_s03,250,1.0,5000.000000000001,26,0.1,75,ok
p10008\p10008_s04,250,0.9999999999999999,5000.000000000002,16,0.1,75,ok
p10008\p10008_s05,250,1.0000000000000002,4999.999999999999,17,0.1,75,ok
p10008\p10008_s06,250,1.0,4999.999999999999,13,0.1,75,ok
p10008\p10008_s07,250,1.0,5000.0,15,0.1,75,ok
p10008\p10008_s08,250,1.0,5000.000000000002,15,0.1,75,ok
p10008\p10008_s09,250,1.0,4999.999999999999,14,0.1,75,ok
p10008\p10008_s10,250,0.9999999999999999,5000.000000000001,14,0.1,75,ok
p10008\p10008_s11,250,1.0,4999.999999999999,3,0.1,75,ok
p10008\p10008_s12,250,1.0,4999.999999999999,2,0.1,75,ok
p10008\p10008_s13,250,1.0,5000.000000000002,19,0.1,75,ok
p10008\p10008_s14,250,1.0,5000.000000000003,14,0.1,75,ok
p10008\p10008_s15,250,1.0,5000.0,15,0.1,75,ok
p10008\p10008_s16,250,0.9999999999999999,4999.999999999999,16,0.1,75,ok
p10008\p10008_s17,250,1.0,4999.999999999998,18,0.1,75,ok
p10008\p10008_s18,250,1.0000000000000002,5000.0,16,0.1,75,ok
p10008\p10008_s19,250,0.9999999999999999,5000.0,15,0.1,75,ok
p10008\p10008_s20,250,1.0,5000.000000000001,13,0.1,75,ok
p10008\p10008_s21,250,0.9999999999999999,5000.000000000002,6,0.1,75,ok
p10008\p10008_s22,250,1.0,5000.000000000001,8,0.1,75,ok
p10008\p10008_s23,250,1.0,4999.999999999999,5,0.1,75,ok
p10008\p10008_s24,250,0.9999999999999999,5000.000000000004,8,0.1,75,ok
p10008\p10008_s25,250,1.0,5000.0,8,0.1,75,ok
p10008\p10008_s26,250,0.9999999999999998,5000.000000000001,18,0.1,75,ok
p10008\p10008_s27,250,1.0,4999.999999999999,11,0.1,75,ok
p10008\p10008_s28,250,1.0,4999.999999999999,16,0.1,75,ok
p10008\p10008_s29,250,1.0,4999.999999999997,17,0.1,75,ok
p10008\p10008_s30,250,1.0,4999.999999999999,9,0.1,75,ok
p10008\p10008_s31,250,1.0,5000.000000000001,14,0.1,75,ok
p10008\p10008_s32,250,1.0,5000.0,16,0.1,75,ok
p10008\p10008_s33,250,1.0,4999.999999999999,10,0.1,75,ok
p10008\p10008_s34,250,0.9999999999999998,5000.000000000001,11,0.1,75,ok
p10008\p10008_s35,250,1.0,5000.000000000001,16,0.1,75,ok
p10008\p10008_s36,250,0.9999999999999999,5000.0,7,0.1,75,ok
p10008\p10008_s37,250,1.0,4999.999999999999,19,0.1,75,ok
p10008\p10008_s38,250,0.9999999999999999,5000.000000000001,15,0.1,75,ok
p10008\p10008_s39,250,1.0,5000.000000000002,13,0.1,75,ok
p10008\p10008_s40,250,1.0,5000.0,17,0.1,75,ok
p10008\p10008_s41,250,1.0,5000.000000000003,18,0.1,75,ok
